숲길명,장소명,위도,경도
서울둘레길 1코스,전망대에서 바라본 전망1,37.67775,127.060089
서울둘레길 1코스,절구시래기&화덕생선구이,37.674686,127.061958
서울둘레길 1코스,배바위,37.673943,127.062332
서울둘레길 1코스,고래바위,37.673538,127.062607
서울둘레길 1코스,갈림길,37.67099,127.062683
서울둘레길 8코스,쉼터,37.615452,126.994942
서울둘레길 1코스,갈림길,37.661678,127.081711
서울둘레길 1코스,쉼터,37.642513,127.092422
서울둘레길 1코스,거인 발자국 바위,37.669468,127.067184
서울둘레길 1코스,쉼터,37.672279,127.067421
서울둘레길 1코스,쉼터,37.671387,127.067558
서울둘레길 1코스,공릉산백세문,37.627808,127.08522
서울둘레길 1코스,둘레길 바위,37.66135,127.082237
서울둘레길 1코스,벤치,37.645321,127.089935
서울둘레길 1코스,들머리,37.669949,127.0783
서울둘레길 1코스,쉼터,37.687042,127.051987
서울둘레길 1코스,수락 불암산 코스 인증 스탬프,37.668354,127.083649
서울둘레길 1코스,조망점,37.668385,127.083656
서울둘레길 1코스,굴참나무,37.662579,127.081726
서울둘레길 1코스,갈림길,37.627998,127.085159
서울둘레길 1코스,화장실,37.654919,127.082924
서울둘레길 1코스,정자쉼터,37.635357,127.090416
서울둘레길 8코스,갈림길,37.66127,127.007614
서울둘레길 8코스,도봉탐방지원센터,37.686134,127.036224
서울둘레길 8코스,갈림길,37.643879,127.003143
서울둘레길 1코스,산사나무,37.655064,127.083374
서울둘레길 1코스,공룡바위,37.653248,127.084503
서울둘레길 8코스,구름전망대,37.629814,127.00972
서울둘레길 1코스,숲 도서관(불암 문고),37.650314,127.087723
서울둘레길 1코스,등산로 화장실,37.65028,127.088028
서울둘레길 1코스,쉼터,37.64053,127.090996
서울둘레길 1코스,전망대,37.64045,127.091042
서울둘레길 1코스,쉼터,37.635479,127.09037
서울둘레길 1코스,철길 숲길 산책로,37.621193,127.085655
서울둘레길 8코스,유아동네 쉼터,37.619984,127.004646
서울둘레길 1코스,갈림길,37.655148,127.083321
서울둘레길 1코스,갈림길,37.655235,127.083656
서울둘레길 1코스,6호선 화랑대역,37.620613,127.084473
서울둘레길 1코스,노원구 전망 1,37.672012,127.068504
서울둘레길 1코스,쉼터,37.669746,127.067413
서울둘레길 1코스,쉼터,37.669464,127.063629
서울둘레길 1코스,쉼터,37.671463,127.062866
서울둘레길 1코스,쉼터,37.672848,127.063354
서울둘레길 1코스,쉼터,37.674034,127.062241
서울둘레길 1코스,쉼터,37.674286,127.062233
서울둘레길 1코스,쉼터,37.675644,127.061836
서울둘레길 1코스,쉼터,37.676342,127.060745
서울둘레길 1코스,전망대 쉼터,37.677715,127.060013
서울둘레길 1코스,전망대,37.677761,127.06012
서울둘레길 1코스,우방아파트,37.625973,127.086128
서울둘레길 8코스,간이쉼터,37.639736,127.007347
